No,Date/Time,Date/time end,Altitude [m],Size fraction,Mass v [µg/m**3],Na+ [µg/m**3],[NH4]+ [µg/m**3],K+ [µg/m**3],Mg2+ [µg/m**3],Ca2+ [µg/m**3],Cl- [µg/m**3],[NO3]- [µg/m**3],[SO4]2- [µg/m**3],[C2O4]2- [µg/m**3],Br- [µg/m**3],C org [µg/m**3],EC [µg/m**3],TC [µg/m**3],Ca [ng/m**3],Ti [ng/m**3],V [ng/m**3],Cr [ng/m**3],Mn [ng/m**3],Fe [ng/m**3],Ni [ng/m**3],Cu [ng/m**3],Zn [ng/m**3],Pb [ng/m**3],As [ng/m**3],Se [ng/m**3],Sr [ng/m**3],Rb [ng/m**3],Ba [ng/m**3],La [ng/m**3],Ce [ng/m**3]
1246,2011-02-09T11:40:00,2011-02-10T11:14,42,0.05 - 0.14 µm,0.242,<0.0006,0.0107,<0.0006,0.0004,0.0411,0.0071,0.005,0.0218,<0.0002,<0.0002,0.052,0.025,0.077,2.65,0.06,0.013,0.18,0.04,1.47,<0.0144,<0.048,0.11,0.009,0.004,<0.001,0.05,<0.0048,0.05,0.01,0.01
1247,2011-02-09T11:40:00,2011-02-10T11:14,42,0.14 - 0.42 µm,1.137,0.0048,0.0993,0.0025,0.002,0.0509,0.0076,0.0062,0.2554,0.0023,0.0004,0.11,<0.010,0.116,5.43,0.3,0.149,0.16,0.12,5.85,0.06,<0.048,0.29,0.096,0.033,0.009,0.12,0.007,0.16,0.02,0.02
1248,2011-02-09T11:40:00,2011-02-10T11:14,42,0.42 - 1.2 µm,2.581,0.0902,0.0098,0.0057,0.0117,0.0954,0.1003,0.0612,0.1622,0.005,<0.0002,0.211,0.047,0.258,23.77,0.33,0.045,0.05,0.36,10.85,0.02,<0.048,0.27,0.061,0.026,0.018,0.4,0.01,0.3,<0.0036,0.02
1249,2011-02-09T11:40:00,2011-02-10T11:14,42,1.2 - 3.5 µm,12.394,0.42,0.0061,0.0311,0.0686,0.2662,0.7247,0.4974,0.4703,0.0089,0.001,0.273,<0.010,0.275,189.48,3.69,0.233,0.27,2.26,89.84,0.05,0.1,0.93,0.051,0.042,0.047,2.84,0.099,1.81,<0.0036,0.27
1250,2011-02-09T11:40:00,2011-02-10T11:14,42,3.5 - 10 µm,7.957,0.815,0.0026,0.0336,0.0737,0.2043,1.4528,0.2347,0.3519,0.0029,0.0013,0.167,<0.010,0.174,74.82,5.68,0.104,0.13,0.87,69.14,0.05,0.06,0.37,0.02,0.028,0.001,1.25,0.117,1.2,0.27,0.15
1351,2011-02-10T11:42:00,2011-02-11T11:07,42,0.05 - 0.14 µm,0.029,0.002,0.0098,0.0022,0.0001,0.043,0.0118,0.0046,0.0129,<0.0002,<0.0002,0.065,0.012,0.077,0,<0.013,0,<0.0336,<0.0096,0,<0.0144,<0.048,0,0,<0.003,0,0,<0.0048,0,<0.0036,<0.006
1352,2011-02-10T11:42:00,2011-02-11T11:07,42,0.14 - 0.42 µm,0.556,0.0051,0.0636,<0.0006,0.0013,0.0708,0.0077,0.0034,0.2174,0.0015,<0.0002,0.157,<0.010,0.157,1.18,<0.013,0.074,0.17,<0.0096,0.46,0.03,<0.048,0.17,0.036,0.009,0.004,0.03,<0.0048,0.02,<0.0036,0.01
1353,2011-02-10T11:42:00,2011-02-11T11:07,42,0.42 - 1.2 µm,0.937,0.1316,0.0025,0.0007,0.0153,0.0278,0.1955,0.0322,0.0908,<0.0002,0.0004,0.007,<0.010,0.007,5.13,0.06,0.021,0.2,0.02,1.32,<0.0144,<0.048,0.18,0.021,0.022,0.024,0.12,0.02,0.04,0.01,0.02
1354,2011-02-10T11:42:00,2011-02-11T11:07,42,1.2 - 3.5 µm,5.384,0.9362,0.0043,0.0334,0.0866,0.0763,1.6399,0.1895,0.2529,0.0027,0.0014,0.034,<0.010,0.037,24.2,0.51,0.024,0.06,0.09,7.9,<0.0144,<0.048,0.73,0.033,0.087,0.038,0.54,0.014,0.02,<0.0036,0.02
1355,2011-02-10T11:42:00,2011-02-11T11:07,42,3.5 - 10 µm,4.468,0.8339,0.0023,0.0343,0.078,0.1176,1.5431,0.076,0.2167,0.0017,0.0013,0.025,0.01,0.035,18.48,1.07,0.019,0.1,0.1,12.93,<0.0144,<0.048,0.32,0.008,0.05,0.001,0.41,0.032,0.13,0.24,0.03
1356,2011-02-11T11:50:00,2011-02-14T12:23,42,0.05 - 0.14 µm,0.112,0.0014,0.0152,<0.0006,0.0036,0.0088,0.005,0.002,0.0377,<0.0002,<0.0002,0.022,<0.010,0.022,0.48,0.03,0.029,0.1,<0.0096,0.37,<0.0144,<0.048,0.04,0.006,0.003,0,0.01,<0.0048,0.01,<0.0036,0.01
1357,2011-02-11T11:50:00,2011-02-14T12:23,42,0.14 - 0.42 µm,0.688,0.0098,0.0504,0.0019,0.0068,0.0225,0.0081,0.0027,0.2189,0.005,0.0002,0.01,<0.010,0.01,1.31,0.1,0.326,0.04,0.04,2.31,0.14,<0.048,0.13,0.051,0.022,0.01,0.03,0.008,0.1,0.09,0.02
1358,2011-02-11T11:50:00,2011-02-14T12:23,42,0.42 - 1.2 µm,1.913,0.1328,0.0023,0.006,0.0161,0.0268,0.1465,0.0331,0.1574,0.0015,0.0004,0.021,<0.010,0.024,12.29,0.09,0.086,0.04,0.24,5.81,0.03,<0.048,0.15,0.042,0.015,0.03,0.26,0.01,0.17,0.01,0.03
1359,2011-02-11T11:50:00,2011-02-14T12:23,42,1.2 - 3.5 µm,9.671,1.1863,0.0034,0.0512,0.0788,0.1215,2.0222,0.4306,0.4265,0.0063,0.0023,0.057,<0.010,0.065,75.92,3.84,0.179,0.09,1.21,68.52,0.05,0.06,0.41,0.031,0.082,0.064,1.65,0.119,1.26,0.69,0.11
1360,2011-02-11T11:50:00,2011-02-14T12:23,42,3.5 - 10 µm,6.298,0.9457,0.0025,0.0407,0.0631,0.0961,1.7048,0.1697,0.2863,0.0011,0.0016,0.06,<0.010,0.06,33.19,2.04,0.052,0.06,0.34,26.76,0.02,<0.048,0.14,0.003,0.032,0.001,0.61,0.063,0.37,0.28,0.06
1361,2011-02-14T13:04:00,2011-02-15T11:09,42,0.05 - 0.14 µm,0.201,<0.0006,0.0086,<0.0006,0.0109,0.0336,0.0179,0.013,0.0306,0.0004,<0.0002,0.023,<0.010,0.023,1.18,<0.013,0.035,0.27,<0.0096,0.25,0.02,<0.048,0.13,0.004,0.003,<0.001,0.02,<0.0048,0.02,<0.0036,0.01
1362,2011-02-14T13:04:00,2011-02-15T11:09,42,0.14 - 0.42 µm,1.209,0.0137,0.0597,<0.0006,0.0197,0.062,0.0229,0.0086,0.3989,0.0093,0.0006,0.036,<0.010,0.038,1.23,<0.013,0.356,0.09,0.01,0.57,0.15,<0.048,0.18,0.018,0.012,0.003,0.03,<0.0048,0.06,0.01,0.01
1363,2011-02-14T13:04:00,2011-02-15T11:09,42,0.42 - 1.2 µm,1.922,0.2404,0.001,0.0063,0.0398,0.0492,0.3354,0.0646,0.1681,0.0035,0.0008,0.008,<0.010,0.009,7.24,0.03,0.058,0.09,0.02,0.98,0.03,<0.048,0.2,0.01,0.013,0.026,0.17,<0.0048,0.04,0.01,0.02
1364,2011-02-14T13:04:00,2011-02-15T11:09,42,1.2 - 3.5 µm,10.272,1.9346,0.0045,0.0727,0.1808,0.2061,3.1977,0.5051,0.4218,0.0089,0.0031,0.179,<0.010,0.179,57.49,0.44,0.035,0.04,0.14,7.19,<0.0144,<0.048,0.81,0.017,0.011,0.054,1.12,0.008,<0.0048,<0.0036,0.04
1365,2011-02-14T13:04:00,2011-02-15T11:09,42,3.5 - 10 µm,8.087,1.2339,0.0053,0.0497,0.1363,0.1337,2.1803,0.2054,0.2318,0.0017,0.0021,0.144,0.018,0.162,32.42,1.35,0.028,0.08,0.13,17.33,<0.0144,<0.048,0.31,0.009,<0.003,<0.001,0.67,0.024,0.22,<0.0036,0.07
1366,2011-02-15T11:40:00,2011-02-16T11:08,42,0.05 - 0.14 µm,0.147,0.0395,0.0058,0.0064,0.0112,0.0344,0.0629,0.0052,0.0213,<0.0002,<0.0002,0.069,<0.010,0.075,1.1,0.02,0.014,0.27,<0.0096,0.12,<0.0144,<0.048,0.12,0.009,<0.003,0.001,0.02,<0.0048,0.02,<0.0036,0.01
1367,2011-02-15T11:40:00,2011-02-16T11:08,42,0.14 - 0.42 µm,1.381,0.1151,0.0636,0.0055,0.0164,0.0454,0.1805,0.0054,0.2951,<0.0002,<0.0002,0.084,0.017,0.101,1.2,0.02,0.239,0.1,0.01,0.35,0.12,<0.048,0.17,0.017,0.02,0.01,0.02,<0.0048,0.03,0.02,0.02
1368,2011-02-15T11:40:00,2011-02-16T11:08,42,0.42 - 1.2 µm,1.611,0.2192,0.0063,0.0032,0.0254,0.0324,0.2965,0.0353,0.1443,<0.0002,0.0004,0.094,<0.010,0.094,6.12,0.09,0.051,0.18,0.02,1.24,0.03,<0.048,0.18,0.015,0.019,0.025,0.15,0.008,0.05,0.04,0.01
1369,2011-02-15T11:40:00,2011-02-16T11:08,42,1.2 - 3.5 µm,6.585,1.4521,0.0048,0.0571,0.1285,0.1185,2.4068,0.3276,0.3727,0.0063,0.0019,0.136,<0.010,0.136,37.74,0.23,<0.0036,0.04,0.01,3.86,<0.0144,<0.048,0.75,0.028,0.096,0.045,0.85,0.025,<0.0048,<0.0036,0
1370,2011-02-15T11:40:00,2011-02-16T11:08,42,3.5 - 10 µm,5.464,1.1404,0.0035,0.046,0.1045,0.0906,2.0644,0.1465,0.26,<0.0002,0.0016,0.038,0.043,0.081,25.49,0.12,0.013,0.05,0.02,2.15,<0.0144,<0.048,0.29,0.014,0.044,0.003,0.62,0.067,0.03,<0.0036,
1371,2011-02-16T11:38:00,2011-02-17T11:10,42,0.05 - 0.14 µm,0.228,0.0065,0.0035,<0.0006,0.0077,0.0223,0.0202,0.005,0.014,<0.0002,<0.0002,0.139,<0.010,0.145,1.07,0.05,0.007,<0.0336,<0.0096,0.14,<0.0144,<0.048,0.13,0.01,<0.003,0,0.02,<0.0048,0.1,<0.0036,0.01
1372,2011-02-16T11:38:00,2011-02-17T11:10,42,0.14 - 0.42 µm,1.091,0.0407,0.0563,0.0143,0.0177,0.0549,0.0662,0.0064,0.341,0.0039,<0.0002,0.124,<0.010,0.124,0.88,0.02,0.101,0.04,0.01,0.24,0.06,<0.048,0.13,0.012,0.005,0.002,0.01,<0.0048,0.03,<0.0036,0.01
1373,2011-02-16T11:38:00,2011-02-17T11:10,42,0.42 - 1.2 µm,0.857,0.1343,0.0012,0.0057,0.0225,0.0409,0.1403,0.025,0.1728,0.0017,0.0003,0.029,<0.010,0.034,3.85,0.03,0.067,0.09,<0.0096,0.13,<0.0144,<0.048,0.14,0.014,0.007,0.026,0.1,<0.0048,0.03,<0.0036,<0.006
1374,2011-02-16T11:38:00,2011-02-17T11:10,42,1.2 - 3.5 µm,4.75,1.0927,0.004,0.045,0.1025,0.0994,1.8182,0.2668,0.2835,0.005,0.0011,0.08,0.02,0.1,23.04,0.08,0.009,0.13,<0.0096,1.03,<0.0144,<0.048,0.76,0.005,0.011,0.012,0.56,0.014,<0.0048,<0.0036,<0.006
1375,2011-02-16T11:38:00,2011-02-17T11:10,42,3.5 - 10 µm,4.724,0.9469,0.0028,0.0352,0.091,0.0784,1.6933,0.1271,0.2015,<0.0002,0.0009,0.128,0.015,0.143,13.03,0.08,<0.0036,<0.0336,<0.0096,1.17,<0.0144,<0.048,0.28,0.005,<0.003,<0.001,0.33,0.007,<0.0048,<0.0036,<0.006
1376,2011-02-17T11:39:00,2011-02-18T11:20,42,0.05 - 0.14 µm,0.203,0.0155,0.0034,0.0041,0.0124,0.0391,0.0326,0.0056,0.0231,0.0003,<0.0002,0.065,<0.010,0.066,0.95,0.03,0.007,<0.0336,0.01,0.1,<0.0144,<0.048,0.11,0.002,<0.003,<0.001,0.02,<0.0048,0.03,0.01,0.01
1377,2011-02-17T11:39:00,2011-02-18T11:20,42,0.14 - 0.42 µm,1.269,0.0031,0.052,0.0001,0.0236,0.0475,0.0307,0.0077,0.3761,0.0057,<0.0002,<0.020,<0.010,0.004,0.81,0.02,0.21,0.09,0.01,0.42,0.08,<0.048,0.13,0.012,0.006,0.004,0.02,<0.0048,0.05,0.01,0.02
1378,2011-02-17T11:39:00,2011-02-18T11:20,42,0.42 - 1.2 µm,0.885,0.0969,0.0022,0.0021,0.0224,0.0389,0.0797,0.0274,0.1496,0.0014,<0.0002,<0.020,<0.010,0.004,3.04,0.05,0.065,0.12,<0.0096,0.48,0.02,<0.048,0.14,0.009,0.01,0.032,0.07,<0.0048,0.05,0.01,<0.006
1379,2011-02-17T11:39:00,2011-02-18T11:20,42,1.2 - 3.5 µm,4.291,0.7806,0.0077,0.0235,0.0916,0.0792,1.279,0.288,0.2063,0.0043,<0.0002,<0.020,<0.010,0.018,20.3,0.06,<0.0036,<0.0336,<0.0096,1.37,<0.0144,<0.048,0.7,0.025,0.008,0.054,0.46,0.006,,<0.0036,<0.006
1380,2011-02-17T11:39:00,2011-02-18T11:20,42,3.5 - 10 µm,4.755,0.8939,0.0033,0.0315,0.0985,0.0794,1.5807,0.1785,0.2076,0.0006,<0.0002,<0.020,<0.010,0.014,20.79,0.14,0.004,<0.0336,<0.0096,2.1,<0.0144,<0.048,0.29,0.013,0.006,0.005,0.54,<0.0048,,<0.0036,<0.006
1386,2011-02-19T13:45:00,2011-02-21T11:13,42,0.05 - 0.14 µm,0.111,<0.0006,0.0037,<0.0006,0.0058,0.0178,0.0042,0.0027,0.0218,0.0002,<0.0002,0.036,<0.010,0.036,1.02,0.06,0.02,<0.0336,<0.0096,0.21,<0.0144,<0.048,0.13,0.008,0.003,0.001,0.02,<0.0048,0.01,0.01,0.01
1387,2011-02-19T13:45:00,2011-02-21T11:13,42,0.14 - 0.42 µm,1.088,0.0093,0.0591,<0.0006,0.0115,0.026,0.0087,0.0033,0.3227,0.0056,<0.0002,<0.020,<0.010,0.002,1.08,0.03,0.298,0.05,0.01,0.52,0.15,<0.048,0.15,0.021,0.012,0.002,0.02,<0.0048,0.04,0.01,0.01
1388,2011-02-19T13:45:00,2011-02-21T11:13,42,0.42 - 1.2 µm,2.058,0.15,0.0019,0.0072,0.0254,0.0295,0.2104,0.0374,0.1037,0.0006,<0.0002,<0.020,<0.010,0.002,8.52,0.27,0.087,0.1,0.07,4.26,0.05,<0.048,0.19,0.017,0.012,0.034,0.17,<0.0048,0.13,0.02,0.03
1389,2011-02-19T13:45:00,2011-02-21T11:13,42,1.2 - 3.5 µm,10.869,1.7759,0.0087,0.0574,0.1415,0.1457,3.0823,0.4961,0.5493,0.0113,<0.0002,0.096,<0.010,0.096,67.18,1.46,0.056,0.14,0.44,23.5,0.02,<0.048,0.77,0.023,0.012,0.078,1.02,0.025,0.44,<0.0036,0.07
1390,2011-02-19T13:45:00,2011-02-21T11:13,42,3.5 - 10 µm,8.551,1.4917,0.0071,0.0522,0.1236,0.1408,2.671,0.2636,0.4407,0.0026,<0.0002,0.066,<0.010,0.071,37.17,3.14,0.042,0.13,0.36,40.39,0.03,<0.048,0.36,0.006,0.02,0.005,0.73,0.068,0.57,0.1,0.05
1391,2011-02-21T11:39:00,2011-02-22T11:08,42,0.05 - 0.14 µm,0.298,0.0031,0.0131,0.0007,0.01,0.0432,0.0253,0.0053,0.0373,0.0005,<0.0002,<0.020,<0.010,0,2.17,0.06,0.081,0.14,<0.0096,0.4,0.03,<0.048,0.03,0.014,0.004,<0.001,0.02,<0.0048,0.06,0.03,0.03
1392,2011-02-21T11:39:00,2011-02-22T11:08,42,0.14 - 0.42 µm,1.336,0.0141,0.0618,<0.0006,0.0193,0.0478,0.0173,0.0056,0.3336,0.0008,<0.0002,<0.020,<0.010,0.014,0.77,<0.013,0.361,0.04,0.01,0.34,0.22,<0.048,0.1,0.02,0.017,0.004,0.02,<0.0048,0.07,0.02,0.02
1393,2011-02-21T11:39:00,2011-02-22T11:08,42,0.42 - 1.2 µm,3.173,0.2421,0.008,0.0075,0.0397,0.063,0.3317,0.0643,0.198,0.0011,<0.0002,<0.020,<0.010,0.015,9.33,0.11,0.118,0.06,0.05,2.17,0.04,<0.048,0.15,0.032,0.021,0.029,0.2,0.012,0.09,0.04,0.01
1394,2011-02-21T11:39:00,2011-02-22T11:08,42,1.2 - 3.5 µm,17.204,2.2765,0.0126,0.0844,0.2038,0.3654,3.9959,0.7729,0.8299,0.0192,<0.0002,0.133,<0.010,0.133,52.88,0.85,0.058,0.04,0.2,14.45,<0.0144,<0.048,0.4,0.006,0.056,0.056,0.86,0.017,0.2,0.07,0.03
1395,2011-02-21T11:39:00,2011-02-22T11:08,42,3.5 - 10 µm,15.298,2.2545,0.0068,0.0809,0.1852,0.3751,4.0968,0.3409,0.6851,0.0071,<0.0002,0.163,<0.010,0.163,44.96,3.37,0.069,0.31,0.3,43.95,0.09,<0.048,0.22,0.016,0.032,0.005,0.82,0.082,0.42,0.25,0.14
1396,2011-02-22T11:39:00,2011-02-23T12:13,42,0.05 - 0.14 µm,0.129,<0.0006,0.0169,<0.0006,0.001,0.0214,0.0094,0.0066,0.0403,0.0006,<0.0002,<0.020,<0.010,0.025,1.1,0.03,0.109,0.05,<0.0096,0.14,0.03,<0.048,0.11,0.008,0.004,<0.001,0.02,<0.0048,0.02,0.01,0.02
1397,2011-02-22T11:39:00,2011-02-23T12:13,42,0.14 - 0.42 µm,0.92,0.0114,0.1373,0.0003,0.0036,0.0637,0.0129,0.0065,0.4583,0.0029,0.0011,0.033,<0.010,0.033,1.49,0.04,0.724,0.23,0.01,0.85,0.29,<0.048,0.18,0.065,0.043,0.012,0.03,<0.0048,0.1,0.02,0.1
1398,2011-02-22T11:39:00,2011-02-23T12:13,42,0.42 - 1.2 µm,3.165,0.1102,0.0062,0.0118,0.0298,0.0924,0.1975,0.0778,0.177,0.0024,0.0018,0.013,<0.010,0.014,17.83,1.35,0.144,0.25,0.18,17.4,0.04,<0.048,0.27,0.034,0.032,0.034,0.37,0.025,0.26,0.11,0.08
1399,2011-02-22T11:39:00,2011-02-23T12:13,42,1.2 - 3.5 µm,18.443,2.561,0.0047,0.0859,0.2171,0.2937,4.3665,0.7678,0.8608,0.033,0.004,0.23,0.2,0.43,186.25,3.54,0.234,0.25,0.92,58.74,0.03,0.06,0.86,0.015,0.056,0.104,1.94,0.098,0.77,<0.0036,0.19
1400,2011-02-22T11:39:00,2011-02-23T12:13,42,3.5 - 10 µm,14.253,0.7818,0.0084,0.0673,0.151,0.1903,1.6322,0.2787,0.5532,0.01,0.0024,0.176,<0.010,0.176,175.05,7.55,0.225,0.26,1.15,95.79,0.06,0.07,0.45,0.045,0.059,0.013,1.8,0.199,0.93,0.22,0.31
1536,2011-02-23T12:39:00,2011-02-24T11:08,42,0.05 - 0.14 µm,0.095,<0.0006,0.0204,<0.0006,0.0007,0.0903,0.0041,0.0101,0.0484,0.0015,0.0006,0.081,<0.010,0.081,1.43,0.03,0.122,<0.0336,<0.0096,0.37,0.05,<0.048,0.12,0.008,0.006,0.001,0.02,<0.0048,0.06,0.01,0.02
1537,2011-02-23T12:39:00,2011-02-24T11:08,42,0.14 - 0.42 µm,1.125,0.0113,0.1857,0.0016,0.0025,0.08,0.0059,0.0064,0.612,0.0037,0.0008,0.114,0.015,0.128,1.72,0.11,0.547,0.09,0.01,1.54,0.23,<0.048,0.18,0.086,0.029,0.009,0.03,<0.0048,0.12,0.03,0.09
1538,2011-02-23T12:39:00,2011-02-24T11:08,42,0.42 - 1.2 µm,5.669,0.2554,0.0031,0.0113,0.0283,0.1231,0.2471,0.0465,0.3699,0.0016,0.0003,0.116,0.015,0.131,26.59,1.1,0.174,0.3,0.28,17.31,0.06,<0.048,0.33,0.155,0.053,0.06,0.47,0.02,0.35,0.02,0.09
1539,2011-02-23T12:39:00,2011-02-24T11:08,42,1.2 - 3.5 µm,22.905,2.4559,0.0086,0.098,0.2246,0.3053,4.0886,0.8567,0.9235,0.0428,0.004,0.207,<0.010,0.213,225.53,8.83,0.339,0.34,1.64,126.64,0.06,0.1,0.97,0.075,0.099,0.107,2.7,0.217,1.88,0.41,0.33
1540,2011-02-23T12:39:00,2011-02-24T11:08,42,3.5 - 10 µm,15.813,1.1571,0.0095,0.0654,0.151,0.1767,2.0857,0.2904,0.4723,0.0117,0.0021,0.221,<0.010,0.228,195.54,10.06,0.245,0.23,1.3,125.9,0.07,0.08,0.48,0.053,0.056,0.008,2.19,0.263,2.01,0.54,0.31
1541,2011-02-24T11:39:00,2011-02-25T12:40,42,0.05 - 0.14 µm,0.203,0.0014,0.0296,<0.0006,0.0014,0.0287,0.0094,0.0066,0.0761,0.0012,<0.0002,0.049,<0.010,0.049,1.83,0.06,0.116,0.06,<0.0096,0.49,0.03,<0.048,0.12,0.022,0.009,0.001,0.03,<0.0048,0.02,0.02,0.01
1542,2011-02-24T11:39:00,2011-02-25T12:40,42,0.14 - 0.42 µm,1.79,0.0109,0.1426,0.0062,0.0053,0.066,0.0083,0.0067,0.5071,0.0047,0.0007,0.065,0.036,0.101,1.9,0.06,0.887,0.13,0.03,1.84,0.33,<0.048,0.3,0.455,0.057,0.022,0.04,<0.0048,0.16,0.02,0.06
1543,2011-02-24T11:39:00,2011-02-25T12:40,42,0.42 - 1.2 µm,8.538,0.2545,0.008,0.0211,0.0356,0.1858,0.2721,0.1296,0.471,0.0052,<0.0002,0.072,<0.010,0.073,30.16,1.17,0.275,0.14,0.61,21.54,0.07,<0.048,0.61,0.593,0.099,0.059,0.58,0.024,0.46,0.08,0.13
1544,2011-02-24T11:39:00,2011-02-25T12:40,42,1.2 - 3.5 µm,39.315,2.0014,0.0151,0.1041,0.176,0.2183,3.1729,1.2231,0.839,0.0602,0.0026,0.385,0.015,0.4,238.97,10.35,0.436,0.4,3.08,163.11,0.09,0.13,1.12,0.128,0.113,0.103,3.22,0.271,2.5,0.6,0.55
1545,2011-02-24T11:39:00,2011-02-25T12:40,42,3.5 - 10 µm,27.353,1.5929,0.0075,0.0931,0.1606,0.2171,2.874,0.4951,0.7015,0.0254,0.0042,0.251,0.02,0.27,213.41,26.49,0.234,0.53,2.68,294.87,0.18,0.18,0.79,0.143,0.076,0.01,2.94,0.628,5.08,2.87,0.62
1546,2011-02-25T13:28:00,2011-02-26T13:17,42,0.05 - 0.14 µm,0.146,<0.0006,0.0109,<0.0006,0.0009,0.0785,0.0082,0.0067,0.0289,0.001,<0.0002,0.044,<0.010,0.044,2.22,0.1,0.194,0.16,0.02,1.42,0.08,<0.048,0.12,0.031,0.012,0.003,0.04,<0.0048,0.09,0.01,0.02
1547,2011-02-25T13:28:00,2011-02-26T13:17,42,0.14 - 0.42 µm,0.768,0.0095,0.0705,0.0033,0.0018,0.0646,0.0195,0.0077,0.2441,0.0024,0.0007,0.065,<0.010,0.065,7.43,1.68,0.991,0.14,0.24,21.99,0.36,<0.048,0.35,0.57,0.101,0.036,0.19,0.031,0.81,0.27,0.15
1548,2011-02-25T13:28:00,2011-02-26T13:17,42,0.42 - 1.2 µm,2.775,0.1027,0.0058,0.0052,0.0199,0.1255,0.1626,0.0267,0.1868,0.0014,0.0007,<0.020,<0.010,0.02,64.37,2.92,0.327,0.13,1.48,60.53,0.1,0.06,0.46,1.156,0.129,0.087,1.07,0.07,1,<0.0036,0.2
1549,2011-02-25T13:28:00,2011-02-26T13:17,42,1.2 - 3.5 µm,12.217,1.1459,0.0029,0.04,0.0996,0.1062,1.9211,0.4184,0.2047,0.0033,0.0013,0.211,<0.010,0.215,592.96,45.45,0.993,1.36,10.14,666.52,0.3,0.41,1.64,1.065,0.042,0.167,8.69,1.168,12.16,5.34,1.93
1550,2011-02-25T13:28:00,2011-02-26T13:17,42,3.5 - 10 µm,8.745,0.9464,0.0036,0.0369,0.0932,0.0896,1.6521,0.1677,0.2425,0.0063,0.0012,0.157,<0.010,0.159,581.04,45.71,0.676,0.87,7.27,551.85,0.25,0.34,1.06,0.577,0.014,0.009,6.59,1.2,10.99,4.62,1.26
1551,2011-02-26T14:15:00,2011-02-28T12:45,42,0.05 - 0.14 µm,0.033,<0.0006,0.0041,<0.0006,0.0005,0.0347,0.0049,0.004,0.0268,0.0005,<0.0002,<0.020,<0.010,0.015,0.82,0.04,0.005,0.08,0.02,4.68,<0.0144,<0.048,0.06,0.004,<0.003,<0.001,0.01,<0.0048,0.01,0.01,0.01
1552,2011-02-26T14:15:00,2011-02-28T12:45,42,0.14 - 0.42 µm,0.134,0.0129,0.0011,0.006,0.0009,0.0312,0.0224,0.0044,0.0065,0.0008,<0.0002,0.035,<0.010,0.039,0.58,0.03,0.033,0.05,<0.0096,0.36,0.02,<0.048,0.07,0.009,0.003,<0.001,0.01,<0.0048,0.01,<0.0036,0.01
1553,2011-02-26T14:15:00,2011-02-28T12:45,42,0.42 - 1.2 µm,0.33,0.019,0.0007,<0.0006,0.0024,0.0292,0.0321,0.0071,0.0212,0.0005,0.0336,<0.020,<0.010,0.005,2.39,0.21,0.012,0.05,0.04,2.8,<0.0144,<0.048,0.07,0.009,0.004,0.006,0.05,<0.0048,0.03,0.01,0.01
1554,2011-02-26T14:15:00,2011-02-28T12:45,42,1.2 - 3.5 µm,1.264,0.1431,0.0009,0.0037,0.0158,0.057,0.28,0.0339,0.031,0.0005,<0.0002,0.05,0.015,0.064,13.21,0.4,0.013,<0.0336,0.11,5.91,<0.0144,<0.048,0.37,0.009,0.005,0.008,0.17,0.007,0.05,<0.0036,0.02
1555,2011-02-26T14:15:00,2011-02-28T12:45,42,3.5 - 10 µm,0.93,0.1174,0.0009,0.0037,0.0118,0.0475,0.2155,0.0133,0.0309,0.0006,0,0.027,<0.010,0.031,,,,,,,,,,,,,,,,,
